Ctrl,Data,Instituição Certificadora,Validade,Certificado,Tipo,Modalidade
1,22/09/2018,ABMES / Faculdades Asser (Rio Claro) – UNICEP,N/D,14ª Campanha da Responsabilidade Social do Ensino Superior Particular,Evento,Presencial
2,22/09/2018,Faculdades Asser (Rio Claro) – UNICEP,N/D,Edição Rápida de Documentos com Libreoffice Writer,Curso,Presencial
3,21/05/2019,Faculdades Asser (Rio Claro) – UNICEP,N/D,X Mostra de Iniciação Científica e Semana do Conhecimento,Evento,Presencial
4,16/07/2019,Udemy,N/D,Introdução à Linguagem Javascript,Curso,Online
5,16/07/2019,ALFAHELIX / Udemy,N/D,Introdução à Linguagem Javascript,Curso,Online
6,16/07/2019,ALFAHELIX / Udemy,N/D,Introdução ao jQuery,Curso,Online
7,05/11/2019,Startup Weekend (Rio Claro),N/D,Ferramenta de inovação de negócios: Validação  e Canvas,Evento,Online
8,11/12/2019,Faculdades Asser (Rio Claro) – UNICEP,N/D,XI Mostra de Iniciação Científica e Semana do Conhecimento,Evento,Presencial
9,16/02/2020,UNICEP (Rio Claro),N/D,O poder de uma decisão,Palestra,Online
10,18/07/2020,BlackRocks,N/D,Semana Arena BlackRocks,Evento,Online
11,06/10/2020,Simpósio Regional em Tecnologia de Informação e Comunicação,N/D,Gerenciamento de Produção Fabril ONLINE – MES – Abordagem de TI,Apresentação de Trabalho,Online
12,28/10/2020,UNICEP (Rio Claro),N/D,"Liderança, Motivação e Competências para Administradores",Palestra,Online
13,06/11/2020,Simpósio Regional em Tecnologia de Informação e Comunicação,N/D,Simpósio Regional em Tecnologia de Informação e Comunicação,Palestra,Online
14,09/11/2020,UNICEP (Rio Claro),N/D,Semana da Administração,Palestra,Online
15,16/11/2020,DEV Samurai,N/D,Programador do Zero,Curso,Online
16,25/11/2020,Jdev Treinamento On-Line,N/D,"Lógica de Programação, Algoritmos e Pseudocódigos (VisualG 3.0 e Portugol)",Curso,Online
17,20/02/2021,BEELAB,N/D,QA Week 4ª Edição,Evento,Online
18,16/07/2021,UNICEP (Rio Claro),N/D,Desenvolvimento de Plano de Negócios (Apresentação),Apresentação de Trabalho,Online
19,16/07/2021,UNICEP (Rio Claro),N/D,Desenvolvimento de Plano de Negócios (Participação),Palestra,Online
20,08/09/2021,UNICEP (Rio Claro),N/D,Como a Tecnologia pode ser determinante para o sucesso da gestão de um negócio,Palestra,Online
21,09/09/2021,UNICEP (Rio Claro),N/D,Desenvolvimento de carreira e liderança,Palestra,Online
22,10/09/2021,UNICEP (Rio Claro),N/D,Mercado de trabalho e perspectivas com o advento da pandemia,Palestra,Online
23,23/09/2021,Observatório Social do Brasil,N/D,5º Congresso Pacto pelo Brasil Gestão Inteligente de Cidades,Congresso,Online
24,02/10/2021,ALFAHELIX / Udemy,N/D,Boas práticas em PHP,Curso,Online
25,21/08/2022,HOTMART / MQFS,N/D,Formação SQL Developer  - Firebird,Curso,Online
26,20/01/2023,SQL Week Recife Conference,N/D,SQL Week Conference 4ª Edição,Evento,Online
27,14/12/2023,HOTMART / MQFS,N/D,Formação PSQL Developer  - Firebird,Curso,Online
